Code,RQ,Participant,Strand,Data_Type,Source_Tag,Dimension,Data_Point,Paired_With,Classification,Notes
Q54,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Biopsychosocial Model vs. Disease Model of Addiction — PC1 = 0.382; PC2 = -0.109,,,
Q55,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Aligns With My Approach vs. Disaligned with my Approach — PC1 = 0.371; PC2 = -0.400,,,
Q56,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Ethical Behavior vs. Unethical Behavior — PC1 = 0.367; PC2 = -0.132,,,
Q57,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Educational Credibility vs. Less Reliant on Credentials — PC1 = 0.353; PC2 = -0.075,,,
Q58,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Current Skills vs. Future/Potential Skills — PC1 = 0.202; PC2 = -0.593,,,
Q59,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Personal Relationship vs. Professional Relationship — PC1 = 0.256; PC2 = 0.483,,,
Q60,RQ2,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Close in Age vs. Different in Age — PC1 = 0.173; PC2 = 0.605,,,
Q61,RQ2,Seth,QUANT,Dual-Loading Construct,Seth People Grid,PC1/PC2,Aligns With My Approach loads on both PC1 (0.371) and PC2 (-0.400). Theoretical alignment functions as both interpersonal evaluative criterion (PC1) and developmental aspiration marker (PC2).,,,
Q62,RQ2,Seth,QUANT,Element Position,Seth People Grid,Self (E1),"Self (E1) ≈ -3.0 PC1, ≈ -2.2 PC2",,,
Q63,RQ2,Seth,QUANT,Element Position,Seth People Grid,Ideal Self (E2),"Ideal Self (E2) ≈ -4.0 PC1, ≈ +0.9 PC2",,,
Q64,RQ2,Seth,QUANT,Element Position,Seth People Grid,Strong Client (E3),"Strong Client Relationship (E3) ≈ +2.0 PC1, ≈ +1.1 PC2",,,
Q65,RQ2,Seth,QUANT,Element Position,Seth People Grid,Difficult Client (E4),"Difficult Client (E4) ≈ +4.5 PC1, ≈ -0.2 PC2",,,
Q66,RQ2,Seth,QUANT,Element Position,Seth People Grid,Family w/SUD (E5),"Family w/SUD (E5) ≈ +1.5 PC1, ≈ -2.7 PC2",,,
Q67,RQ2,Seth,QUANT,Element Position,Seth People Grid,Friend (E6),"Friend (E6) ≈ -1.5 PC1, ≈ -1.7 PC2",,,
Q68,RQ2,Seth,QUANT,Element Position,Seth People Grid,Supervisor (E7),"Supervisor (E7) ≈ -2.5 PC1, ≈ +1.9 PC2",,,
Q69,RQ2,Seth,QUANT,Element Position,Seth People Grid,Admired Colleague (E8),"Admired Colleague (E8) ≈ -2.0 PC1, ≈ +2.4 PC2",,,
Q70,RQ2,Seth,QUANT,Element Position,Seth People Grid,Culturally Different Client (E9),"Culturally Different Client (E9) ≈ +3.0 PC1, ≈ +1.0 PC2",,,
Q71,RQ2,Seth,QUANT,Element Position,Seth People Grid,Disagreeable Colleague (E10),"Disagreeable Colleague (E10) ≈ +3.5 PC1, ≈ -0.6 PC2",,,
Q72,RQ2,Seth,QUANT,Element Distance,Seth People Grid,Self-Ideal Self,"PC1 ≈ 1.0 unit (same pole); PC2 ≈ 3.1 units. Largest Self-Ideal Self separation in the study, occurring on the developmental axis.",,,
Q73,RQ2,Seth,QUANT,Element Distance,Seth People Grid,Self-Admired Colleague,PC1 ≈ 1.0 unit (same pole); PC2 ≈ 4.6 units. Admired Colleague anchors the extreme mentor end of PC2.,,,
Q74,RQ2,Seth,QUANT,Element Distance,Seth People Grid,Self-Supervisor,PC1 ≈ 0.5 units (same pole); PC2 ≈ 4.1 units. Supervisor sits near Admired Colleague and Ideal Self at the aligned-mentor end of PC2.,,,
Q75,RQ2,Seth,QUANT,Element Distance,Seth People Grid,Admired Colleague-Ideal Self,PC1 ≈ 2.0 units (same pole); PC2 ≈ 1.5 units. Admired Colleague and Ideal Self cluster at the mentor end of PC2.,,,
Q76,RQ2,Seth,QUANT,Element Distance,Seth People Grid,Self-Friend (E6),PC1 ≈ 1.5 units (same pole); PC2 ≈ 0.5 units. Friend clusters with Self at the personal-potential end of both dimensions.,,,
Q77,RQ2,Rose,QUANT,Principal Component,Rose People Grid,PC1,PC1: Compassionate Cultural Awareness vs. Dominating Self-Centeredness (49.9% variance). Dominant dimension organizes professional identity around social-justice orientation.,,,
Q78,RQ2,Rose,QUANT,Principal Component,Rose People Grid,PC2,PC2: Rigid Program Submission vs. Assertive Cultural Competence (19.6% variance). Secondary dimension captures treatment philosophy tension between AA adherence and individualized cultural competence.,,,
Q79,RQ2,Rose,QUANT,Principal Component,Rose People Grid,PC3,PC3: Mainstream Openness vs. Marginalized Rigidity (13.23% variance). Tertiary dimension links open-mindedness to dominant culture positioning and marginalized culture to rigidity. Not addressed in qualitative data.,,,
Q80,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Caring About Others vs. Self-Centered — PC1 = 0.469; PC2 = -0.012; PC3 = 0.065,,,
Q81,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Marginalized Culture vs. Dominant Culture — PC1 = 0.363; PC2 = -0.117; PC3 = -0.422,,,
Q82,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Culturally Competent vs. Neglects Importance of Culture — PC1 = 0.323; PC2 = -0.528; PC3 = 0.177,,,
Q83,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Open-Minded vs. Rigid — PC1 = 0.285; PC2 = -0.192; PC3 = 0.747,,,
Q84,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Adherence to AA/1 Size Fits All vs. Individualized Treatment — PC1 = 0.075; PC2 = 0.671; PC3 = 0.233,,,
Q85,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Dominating Behavior vs. Submissive Behavior — PC1 = -0.366; PC2 = -0.441; PC3 = -0.134,,,
Q86,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Significant AUD vs. Abstinence — PC1 = -0.384; PC2 = 0.120; PC3 = 0.342,,,
Q87,RQ2,Rose,QUANT,Construct Loading,Rose People Grid,PC1/PC2/PC3,Masculine vs. Feminine — PC1 = -0.420; PC2 = -0.160; PC3 = 0.197,,,
Q88,RQ2,Rose,QUANT,Dual-Loading Construct,Rose People Grid,PC1/PC2,Culturally Competent loads on both PC1 (0.323) and PC2 (-0.528). Cultural competence functions as both a values-identity marker (PC1) and a treatment philosophy marker (PC2).,,,
Q89,RQ2,Rose,QUANT,Dual-Loading Construct,Rose People Grid,PC1/PC2,Dominating Behavior loads on both PC1 (-0.366) and PC2 (-0.441). Dominance anchors the self-centeredness pole on PC1 and the assertive-competence pole on PC2.,,,
Q90,RQ2,Rose,QUANT,Dual-Loading Construct,Rose People Grid,PC1/PC3,Marginalized Culture loads on both PC1 (0.363) and PC3 (-0.422). Marginalized positioning contributes to the compassionate-awareness pole on PC1 and to the rigidity pole on PC3.,,,
Q91,RQ2,Rose,QUANT,Element Position,Rose People Grid,Self (E1),"Self (E1) ≈ -4.0 PC1, ≈ -1.5 PC2",,,
Q92,RQ2,Rose,QUANT,Element Position,Rose People Grid,Ideal Self (E2),"Ideal Self (E2) ≈ -3.0 PC1, ≈ -2.0 PC2",,,
Q93,RQ2,Rose,QUANT,Element Position,Rose People Grid,Strong Client (E3),"Strong Client Relationship (E3) ≈ +3.0 PC1, ≈ +2.8 PC2",,,
Q94,RQ2,Rose,QUANT,Element Position,Rose People Grid,Difficult Client (E4),"Difficult Client (E4) ≈ +10.0 PC1, ≈ +0.5 PC2",,,
Q95,RQ2,Rose,QUANT,Element Position,Rose People Grid,Family w/SUD Dad (E5),"Family w/SUD Dad (E5) ≈ +7.0 PC1, ≈ -1.1 PC2",,,
Q96,RQ2,Rose,QUANT,Element Position,Rose People Grid,Another Family Mom (E6),"Another Family Mom (E6) ≈ -5.0 PC1, ≈ +3.8 PC2",,,
Q97,RQ2,Rose,QUANT,Element Position,Rose People Grid,Supervisor (E7),"Supervisor (E7) ≈ +5.0 PC1, ≈ -1.6 PC2",,,
Q98,RQ2,Rose,QUANT,Element Position,Rose People Grid,Admired Colleague (E8),"Admired Colleague (E8) ≈ -8.0 PC1, ≈ -2.0 PC2",,,
Q99,RQ2,Rose,QUANT,Element Position,Rose People Grid,Culturally Different Client (E9),"Culturally Different Client (E9) ≈ -2.0 PC1, ≈ 0.0 PC2",,,
Q100,RQ2,Rose,QUANT,Element Position,Rose People Grid,Disagreeable Colleague (E10),"Disagreeable Colleague (E10) ≈ -2.0 PC1, ≈ +1.3 PC2",,,
Q101,RQ2,Rose,QUANT,Element Distance,Rose People Grid,Self-Ideal Self,Euclidean ≈ 1.1 units. PC1 ≈ 1.0 unit; PC2 ≈ 0.5 units. Modest distance indicates high congruence.,,,
Q102,RQ2,Rose,QUANT,Element Distance,Rose People Grid,Self-Admired Colleague,"PC1 ≈ 4.0 units (same pole, Admired Colleague further along); PC2 ≈ 0.5 units.",,,
Q103,RQ2,Rose,QUANT,Element Distance,Rose People Grid,Self-Supervisor,PC1 ≈ 9.0 units (opposite poles). Largest Self-Supervisor distance in the study. PC2 ≈ 0.1 units.,,,
Q104,RQ2,Rose,QUANT,Element Distance,Rose People Grid,Admired Colleague-Ideal Self,PC1 ≈ 5.0 units (same pole); PC2 ≈ 0.0 units. Admired model extends substantially further on cultural-awareness dimension.,,,
Q105,RQ2,Rose,QUANT,Element Distance,Rose People Grid,Self-Another Family Mom (E6),PC1 ≈ 1.0 unit (same pole); PC2 ≈ 5.3 units (opposite ends). Mom shares cultural-awareness values (PC1 proximity) but occupies the extreme rigid-submission end of the treatment philosophy dimension (PC2).,,,
QL-1,RQ3,Lisa,QUAL,IPA Theme,GET 1.4,Authenticity in session,"'I've always been authentic... if you ask her how are you, you're going to get a real answer.'",,,
QL-2,RQ3,Lisa,QUAL,IPA Theme,GET 1.4,Humanizing values in clinical behavior,"'On the periphery of other people using drugs for a long time... the people that get in that kind of situation are, you know, our brothers, sisters, next-door neighbors.'",,,
QL-3,RQ3,Lisa,QUAL,IPA Theme,GET 1.4,Personal history integrated into therapeutic presence,'All of these constructs inform my practice in one way or another.',,,
QL-4,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Collaborative framing; egalitarianism,"'The most important thing to me is that we're working on the client's goals, not my goals.'",,,
QL-5,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Empowerment as relational scaffolding,"'While there may well be a higher power above, the power is within yourself.'",,,
QL-6,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Countertransference around abstinence,"'My goal is, Hey, quit using coke today.... But that's not necessarily doable... If they try to do that right away they often fail.'",,,
QL-7,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Collaborative goal-setting,'How much could you cut down by this week? See how that goes.',,,
QL-8,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Client autonomy enacted,"'If someone is very keen on AA, I'll metaphorically drive them to the meetings myself.'",,,
QL-9,RQ3,Lisa,QUAL,IPA Theme,GET 5.3,Clinical judgment shaping intervention,"'I've been drinking two bottles of wine a day, and now I'm going to drink nothing. Well, first of all, that could be physically dangerous.'",,,
QL-10,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Hierarchy management; rejection of othering,'When people like Hannah would avoid clients at all costs... you're treating clients as somebody different to you.',,,
QL-11,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Egalitarianism as intervention,"'It can contribute in a small way to their self-respect, because you're treating them like anybody else.'",,,
QL-12,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Humanizing values with structurally different clients,'There's a person in front of me. Don't really care where they come from.',,,
QL-13,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Boundary calibration; alliance maintenance,"'There are a very few [clients] that I've felt threatened by, and I probably would avoid them, but the rest of my clients, I don't avoid them.'",,,
QL-14,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Hierarchy management enacted,'You're putting yourself in a more powerful position... Whereas if you just act normal with people...',,,
QL-15,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Core relational stance,"'I try to be patient, empathetic, and compassionate... or else I really better quit.'",,,
QL-16,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Cultural responsiveness,'You've got to develop tolerance... see people as individuals... not make assumptions about who they are based on their background.',,,
QL-17,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Relational warmth; countertransference,'I often do feel rather motherly towards some of my clients.',,,
QL-18,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Cultural responsiveness; rupture avoidance,"Description of Hannah's reaction to a trans client's compliment, contrasted with 'What a nice compliment... what's the harm in saying Mark's and Spencer's are great for skirts?'",,,
QL-19,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Authenticity tied to alliance quality,'She was one of those people who isn't authentic with clients... clients really actually hate that once they figure it out.',,,
QL-20,RQ3,Lisa,QUAL,IPA Theme,GET 5.4,Boundary modeling for community encounters,'This was modeled for me when I was training years ago... occasionally I'd see him in the post office.',,,
QL-21,RQ3,Lisa,QUAL,IPA Theme,GET 5.5,Boundary maintenance outside session,"'I know the rules. I didn't start saying, Oh, Mike, I've had a terrible weekend!'",,,
QL-22,RQ3,Lisa,QUAL,IPA Theme,GET 3.2,Clinician characteristics and in-session credibility,Supervisory narrative regarding the trainee assigned to anorexic clients and credibility loss.,,,
QR-1,RQ3,Ramona,QUAL,IPA Theme,GET 1.4,'We' language; collaborative framing,"'I do align myself with clients, and when I'm talking with them, I do say we.... when we get ourselves in these positions, when we are actively using.'",,,
QR-2,RQ3,Ramona,QUAL,IPA Theme,GET 3.1,Distinct construal lens for clients,"'Me, how I see myself as a role of a counselor versus the other family member, how I view them, and how I view the client, is different.'",,,
QR-3,RQ3,Ramona,QUAL,IPA Theme,GET 3.2,Recurring in-session rupture around credentials,"'One out of every five clients is, Are you an addict? Are you a person in recovery? And I'm faced with, like, this...'",,,
QR-4,RQ3,Ramona,QUAL,IPA Theme,GET 3.3,Rupture-and-repair through asserting capacity,"'How do you get to sit here and tell me what I need to do... And I'm like, Yeah, I do, though.'",,,
QR-5,RQ3,Ramona,QUAL,IPA Theme,GET 2.3,Leadership reframed as service,"'Like the ideal counselor, I strive to be as a leader for my clients.'",,,
QR-6,RQ3,Ramona,QUAL,IPA Theme,GET 2.3,Hierarchy management in group context,'When I'm running Groups... I am leading them in understanding.',,,
QR-7,RQ3,Ramona,QUAL,IPA Theme,GET 2.3,Relational influence toward growth,'I want to lead this client in the right direction... who I have seen go and become a leader in NA and AA Groups.',,,
QR-8,RQ3,Ramona,QUAL,IPA Theme,GET 5.4,Rejection of hierarchy enacted,'I don't do this thing where I'm better than. I don't bring that into my counseling experience... that feels icky to me to even say that.',,,
QR-9,RQ3,Ramona,QUAL,IPA Theme,GET 5.4,Egalitarianism as relational commitment,'I don't ever want to be superior than the people that I work with.',,,
QR-10,RQ3,Ramona,QUAL,IPA Theme,GET 5.4,Balancing empathy and directness,"'Like, naturally empathetic... versus, just say it how it is. Which is crazy because I do that too.'",,,
QR-11,RQ3,Ramona,QUAL,IPA Theme,GET 5.4,Calibrating warmth in clinical engagement,'I believe I am warm. But I can also be... I need to be in the middle... at a 3 ideally.',,,
QR-12,RQ3,Ramona,QUAL,IPA Theme,GET 5.5,Countertransference and emotional regulation,'I struggle with narcissism... passive-aggressive. That is a struggle for me... I don't want to be around these people.',,,
QR-13,RQ3,Ramona,QUAL,IPA Theme,GET 5.5,Self-regulation of relational investment,'Where I put my energy and where I don't put my energy. Where I have to pull myself out of.',,,
QR-14,RQ3,Ramona,QUAL,IPA Theme,GET 5.5,Engagement modulation with challenging client,"'I would put him in the middle because it was a sort of a push and pull. Sometimes I was putting my energy there, and sometimes I had to back out.'",,,
QR-15,RQ3,Ramona,QUAL,IPA Theme,GET 5.5,Difficulty located in relationship,"'Working with them, relating to them, was challenging.'",,,
QR-16,RQ3,Ramona,QUAL,IPA Theme,GET 4.2,Empathy for client losses in recovery,'You're talking about dealing with not feeling stimulated all the time... that immediate Rush of dopamine.',,,
QR-17,RQ3,Ramona,QUAL,IPA Theme,GET 4.2,Honest acknowledgment of limits,"'I haven't treated a lot of people that are coming specifically off of sedatives, so I don't know how to speak to that.'",,,
QS-1,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Authenticity in self-disclosure,"'Obviously, I don't go into the Yeah, I'm in recovery when I'm not.'",,,
QS-2,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Active alliance management around disclosure,'What is the right statement to use for this to have relationship building?',,,
QS-3,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Clinical technique for credential ruptures,"'Is it just the throw the open-ended question thrown back at like, What? Why is that so important to you?'",,,
QS-4,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Rupture-and-repair; relocating focus,"'If I said Yes, or if I said No, what does that difference make to you? And how can I still be effective and caring...'",,,
QS-5,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Countertransference and emotional regulation,'The countertransference... I just see a lot more emotionally charged...',,,
QS-6,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Boundary maintenance in session,'That overstep... that countertransference... where that investment can kind of start to overstep in terms of own personal emotions.',,,
QS-7,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Theoretical commitment as relational scaffolding,'A recent personal history of the same problem area... may compromise a counselor's ability to provide the critical condition for change because of over-identification.' (citing Miller & Rollnick),,,
QS-8,RQ3,Seth,QUAL,IPA Theme,GET 3.3,Openness toward structurally different clients,'Closed mindedness versus the ability of exploration.',,,
QS-9,RQ3,Seth,QUAL,IPA Theme,GET 5.1,Theoretical commitments organizing engagement,"'DBT-based Group Therapy. MBCT, MI stuff, MDFT.'",,,
QS-10,RQ3,Seth,QUAL,IPA Theme,GET 5.4,Difference-based rather than hierarchical framing,"'It's not even that, just like... it's just a different standard.'",,,
QS-11,RQ3,Seth,QUAL,IPA Theme,GET 5.5,Affective monitoring of client interactions,"'The frustrated versus not, in terms of time spent. Where it's like the family and the supervisor - refreshing, versus you get done with the challenging client, it can be quite frustrating.'",,,
QS-12,RQ3,Seth,QUAL,IPA Theme,GET 5.5,Emotional regulation across session arc,"'If the person's making strides, but obviously, if they're very challenging for a whole session, it can be quite frustrating.'",,,
QRO-1,RQ3,Rose,QUAL,IPA Theme,GET 1.3,Family-of-origin as relational resource,"'I can relate differently to the patients, I guess.'",,,
QRO-2,RQ3,Rose,QUAL,IPA Theme,GET 1.4,Family-systems lens shaping engagement,"'The family needs help as well, and although the patient is changing, the family is not really doing anything, and that often leads to problems.'",,,
QRO-3,RQ3,Rose,QUAL,IPA Theme,GET 3.1,Locating relational credibility,"'I only have the experience, again, secondhand. Because my husband and my children are in the military.'",,,
QRO-4,RQ3,Rose,QUAL,IPA Theme,GET 3.2,Anticipatory anxiety about alliance,"'Counselors that are not in recovery, not being able to relate... early on, when I started this, this was like the biggest fear of mine.'",,,
QRO-5,RQ3,Rose,QUAL,IPA Theme,GET 3.3,Alliance dynamics; rare ruptures,"'I've had no issues with patients connecting with me... perhaps one or two patients that kind of say, Okay, you don't get it.'",,,
QRO-6,RQ3,Rose,QUAL,IPA Theme,GET 3.3,Reframed credential as relational asset,'It has grown my confidence... I have lived experience with different kinds.',,,
QRO-7,RQ3,Rose,QUAL,IPA Theme,GET 5.1,Theoretical commitment as scaffolding,"'Motivational Interviewing... really eliciting motivation, meeting where the individual, where they're at.'",,,
QRO-8,RQ3,Rose,QUAL,IPA Theme,GET 5.1,Holistic framework guiding engagement,"'Recovery is like, holistic... physically, mentally, emotionally, spiritually... all-encompassing.'",,,
QRO-9,RQ3,Rose,QUAL,IPA Theme,GET 5.2,Tension between mandate and autonomy,'We are requiring our patients to do 12-step meetings as part of the treatment recommendation. That is a dislike of mine.',,,
QRO-10,RQ3,Rose,QUAL,IPA Theme,GET 5.3,Identity work with clients,"'Trying to figure out who is the person without a substance, because oftentimes they have not engaged in any activities they like.'",,,
QRO-11,RQ3,Rose,QUAL,IPA Theme,GET 5.3,Individualized clinical engagement,"'Encouraging engagement in support groups, not necessarily only AA... church, finding activities in the community.'",,,
QRO-12,RQ3,Rose,QUAL,IPA Theme,GET 5.3,Countertransference regulation; empathy as practice,"'Substances affects decision-making... not taking it personal, keeping an open mind... focusing on empathy and meeting them where they're at.'",,,
QRO-13,RQ3,Rose,QUAL,IPA Theme,GET 5.4,Cultural responsiveness,"'Ultimate goal of being culturally competent... cultural humility, cultural competence.'",,,
QRO-14,RQ3,Rose,QUAL,IPA Theme,GET 5.4,Resistance to stereotyping,"'That would be an assumption, a stereotype, that they're all just involved in illegal activities.'",,,
QRO-15,RQ3,Rose,QUAL,IPA Theme,GET 5.4,Self-monitoring during engagement,"'Constant awareness that I'm not judging them, or stereotyping them...'",,,
QRO-16,RQ3,Rose,QUAL,IPA Theme,GET 5.4,Empathy as effortful intervention,"'I can need to be careful about being not judgmental, but, like, especially with difficult patients... still focusing on empathy.'",,,
QRO-17,RQ3,Rose,QUAL,IPA Theme,GET 5.4,Alliance durability beyond treatment,"'Open-minded... the agreeable patient is somebody that has been sober for a really long time, and he still reaches out to me every year and thanks me.'",,,
QRO-18,RQ3,Rose,QUAL,IPA Theme,GET 5.5,Countertransference and emotional regulation,'I can get carried away in my emotions too... This was like the most difficult client I've had in like seven years.',,,
QRO-19,RQ3,Rose,QUAL,IPA Theme,GET 5.5,Self-monitoring of reactivity,"'It felt like he knew exactly what buttons to push. So for me, it's self-awareness that I need to continue to work on.'",,,
QRO-20,RQ3,Rose,QUAL,IPA Theme,GET 5.5,Rupture beyond repair; protecting alliance integrity,'I had to actually transfer care to another counselor. Because they are aggressive... borderline abusive... there was times when I felt gaslit.',,,
QRO-21,RQ3,Rose,QUAL,IPA Theme,GET 5.5,Developmental shift in client construal,"'Early on, I did kind of stereotype whatever substance somebody would use. You see them in a different light.'",,,
NL-1,RQ3,Lisa,QUANT,Principal Component,Lisa People Grid,PC1,"PC1: Empathetic Familiarity vs. Dysfunctionally Distanced (74.36% variance). Dominant dimension organizing Lisa's people field through warmth, empathy, authenticity, and closeness at one pole and arrogance, poor choices, and cultural distance at the other.",,,
NL-2,RQ3,Lisa,QUANT,Principal Component,Lisa People Grid,PC2,PC2: Peer Critique vs. Outsider Idealization (12.93% variance). Secondary dimension distinguishing demographic peers (evaluated more harshly) from culturally different or younger individuals (idealized).,,,
NL-3,RQ3,Lisa,QUANT,Structural Absence,Lisa People Grid,Structural absence,No addiction-specific constructs were elicited for Lisa's People Grid.,,,
NR-1,RQ3,Ramona,QUANT,Principal Component,Ramona People Grid,PC1,"PC1: Psychological Stability vs. Dysfunctional Pathology (61.59% variance). Dominant dimension organizing Ramona's people field through warmth, leadership, and education at one pole and mental instability, narcissism, and addiction at the other.",,,
NR-2,RQ3,Ramona,QUANT,Principal Component,Ramona People Grid,PC2,PC2: Investment in Masculinity vs. Disengaged with Femininity (14.91% variance). Secondary dimension linking masculinity with relational energy investment.,,,
NS-1,RQ3,Seth,QUANT,Principal Component,Seth People Grid,PC1,"PC1: Holistic Alignment vs. Frustrating Dissonance (63.60% variance). Dominant dimension organizing Seth's people field through theoretical agreement, ethical conduct, educational credibility, and relational compatibility. No addiction-specific content.",,,
NS-2,RQ3,Seth,QUANT,Principal Component,Seth People Grid,PC2,PC2: Less-Skilled Personal Relationships vs. Aligned Mentors (19.60% variance). Secondary dimension distinguishing personal closeness and age proximity from professional skill and mentorship.,,,
NS-3,RQ3,Seth,QUANT,Structural Absence,Seth People Grid,Structural absence,No addiction-specific constructs were elicited for Seth's People Grid.,,,
NRO-1,RQ3,Rose,QUANT,Principal Component,Rose People Grid,PC1,"PC1: Compassionate Cultural Awareness vs. Dominating Self-Centeredness (49.90% variance). Dominant dimension organizing Rose's people field through caring, cultural competence, and marginalized-culture identification at one pole and dominance, masculinity, and significant AUD at the other.",,,
NRO-2,RQ3,Rose,QUANT,Principal Component,Rose People Grid,PC2,"PC2: Rigid Program Submission vs. Assertive Cultural Competence (19.60% variance). Secondary dimension distinguishing AA adherence from individualized, culturally competent assertiveness.",,,
NRO-3,RQ3,Rose,QUANT,Principal Component,Rose People Grid,PC3,PC3: Mainstream Openness vs. Marginalized Rigidity (13.23% variance). Tertiary dimension in which open-mindedness clusters with dominant culture positioning while marginalized culture aligns with rigidity.,,,
NL-4,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Close to Self vs. Avoidance — PC1 = 0.984,,,
NL-5,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,"Patient, Empathetic, Compassionate vs. Biased, Paranoid — PC1 = 0.956; PC2 = -0.181",,,
NL-6,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Authentic vs. Inauthentic — PC1 = 0.933; PC2 = -0.134,,,
NL-7,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Fulfilling Life vs. Unfulfilled Life — PC1 = 0.892,,,
NL-8,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Culturally Similar vs. Culturally Different — PC1 = 0.790; PC2 = 0.549,,,
NL-9,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Similar in Age vs. Younger Age — PC1 = 0.754; PC2 = 0.625,,,
NL-10,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,"Arrogant, Rude vs. Polite, Respectful — PC1 = -0.865; PC2 = 0.272",,,
NL-11,RQ3,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2,Makes Poor Choices vs. Makes Better Choices — PC1 = -0.678; PC2 = 0.460,,,
NR-3,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Mentally Unstable vs. Mental Stability — PC1 = -0.956; PC2 = -0.203,,,
NR-4,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Narcissistic and Passive Aggressive vs. Agreeable and Selfless — PC1 = -0.911; PC2 = 0.021,,,
NR-5,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,"Naturally Warm and Empathetic vs. Blunt, Abrupt, Not Warm — PC1 = 0.886; PC2 = 0.163",,,
NR-6,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Leadership Qualities vs. Non-Leader — PC1 = 0.852; PC2 = -0.194,,,
NR-7,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Educated vs. Not Educated — PC1 = 0.804; PC2 = -0.251,,,
NR-8,RQ3,Ramona,QUANT,SU Construct Loading,Ramona People Grid,PC1/PC2,Addict vs. Non-Addict — PC1 = -0.762; PC2 = 0.098,,,
NR-9,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,Masculine vs. Feminine — PC1 = -0.336; PC2 = 0.762,,,
NR-10,RQ3,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2,"Likes Them, Invests Energy Into Relationship vs. Dislikes, Doesn't Invest — PC1 = 0.577; PC2 = 0.658",,,
NS-4,RQ3,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Agreeable Approach to Life vs. Conflicting Approach — PC1 = 0.402; PC2 = 0.104,,,
NS-5,RQ3,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Refreshing to Spend Time with vs. Frustrating to Spend Time with — PC1 = 0.399; PC2 = -0.047,,,
NS-6,RQ3,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2,Biopsychosocial Model vs. Disease Model of Addiction — PC1 = 0.382; PC2 = -0.109,,,
